IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
009989-24012017,24.Jan.17,00:10:48,Fire,Primary Fire,,Road Vehicle,Car ,Open land/water - nearest gazetteer location,E6 5SP,E6,E09000025,NEWHAM,E05000479,CUSTOM HOUSE,542008,181411,542050,181450,London,East Ham,NULL,,584,East Ham,1,1
009991-24012017,24.Jan.17,00:26:26,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Correct incident location,,TW13,E09000018,HOUNSLOW,E05000353,HANWORTH,NULL,NULL,511950,172150,London,Feltham,304,Feltham,318,Feltham,1,2
009992-24012017,24.Jan.17,00:26:29,Special Service,Special Service,Making Safe (not RTC),Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SE18,E09000011,GREENWICH,E05000226,PLUMSTEAD,NULL,NULL,545850,178150,London,Plumstead,264,Plumstead,NULL,,1,1
009994-24012017,24.Jan.17,00:30:05,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,E16,E09000025,NEWHAM,E05000491,ROYAL DOCKS,NULL,NULL,543050,180150,London,Plaistow,736,Stratford,NULL,,1,1
009995-24012017,24.Jan.17,00:46:43,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,SW8,E09000022,LAMBETH,E05000429,STOCKWELL,NULL,NULL,529950,177250,London,Lambeth,290,Lambeth,304,Lambeth,1,2
009996-24012017,24.Jan.17,01:17:02,Fire,Primary Fire,,Other Residential,Hotel/motel ,Correct incident location,RM1 3LP,RM1,E09000016,HAVERING,E05000319,ROMFORD TOWN,551614,188842,551650,188850,London,Romford,312,Hornchurch,380,Dagenham,3,3
009998-24012017,24.Jan.17,01:21:26,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,E09000012,HACKNEY,E05009377,HOXTON EAST & SHOREDITCH,NULL,NULL,533250,183650,London,Shoreditch,815,Shoreditch,NULL,,1,1
010002-24012017,24.Jan.17,01:43:38,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE9,E09000006,BROMLEY,E05000121,MOTTINGHAM AND CHISLEHURST NORTH,NULL,NULL,542350,171750,London,Eltham,565,Eltham,NULL,,1,1
010003-24012017,24.Jan.17,01:49:53,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,CR0,E09000008,CROYDON,E05000168,WEST THORNTON,NULL,NULL,531850,167250,London,Norbury,332,Croydon,NULL,,1,2
010005-24012017,24.Jan.17,02:03:20,Fire,Primary Fire,,Other Residential,Student Hall of Residence ,Within same building,W1T 5HB,W1T,E09000007,CAMDEN,E05000129,BLOOMSBURY,529235,182040,529250,182050,London,Euston,247,Euston,361,Soho,2,2
010006-24012017,24.Jan.17,02:10:05,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W2,E09000020,KENSINGTON AND CHELSEA,E05009400,PEMBRIDGE,NULL,NULL,525350,180750,London,Kensington,352,North Kensington,376,North Kensington,1,2
010007-24012017,24.Jan.17,02:11:38,Fire,Primary Fire,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SE15 2SL,SE15,E09000028,SOUTHWARK,E05000543,LIVESEY,534765,177522,534750,177550,London,New Cross,245,Old Kent Road,NULL,,1,1
010008-24012017,24.Jan.17,02:16:24,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,E17 5DP,E17,E09000031,WALTHAM FOREST,E05000600,HIGHAM HILL,536958,190990,536950,190950,London,Walthamstow,310,Walthamstow,NULL,,1,1
010009-24012017,24.Jan.17,02:17:05,False Alarm,False alarm - Malicious,,Outdoor Structure,Small refuse/rubbish container,In street remote from gazetteer location,IG11 8TN,IG11,E09000002,BARKING AND DAGENHAM,E05000026,ABBEY,544491,184387,544450,184350,London,Barking,914,Barking,NULL,,1,1
010010-24012017,24.Jan.17,02:17:07,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,BR5,E09000006,BROMLEY,E05000115,CRAY VALLEY WEST,NULL,NULL,546450,169650,London,Sidcup,394,Sidcup,396,Sidcup,1,2
010011-24012017,24.Jan.17,02:32:48,Special Service,Special Service,No action (not false alarm),Outdoor,Road surface/pavement ,In street outside gazetteer location,W3 9JA,W3,E09000009,EALING,E05000170,ACTON CENTRAL,520168,180952,520150,180950,London,Acton,292,Acton,NULL,,1,1
010012-24012017,24.Jan.17,02:39:55,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E14 6BT,E14,E09000030,TOWER HAMLETS,E05009325,LANSBURY,537846,181093,537850,181050,London,Poplar,203,Poplar,NULL,,1,1
010015-24012017,24.Jan.17,03:08:11,False Alarm,AFA,,Non Residential,Single shop ,Within same building,SW1V 1RX,SW1V,E09000033,WESTMINSTER,E05000647,WARWICK,529273,178669,529250,178650,London,Lambeth,312,Lambeth,NULL,,1,1
010017-24012017,24.Jan.17,03:25:15,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE27,E09000022,LAMBETH,E05000424,KNIGHT'S HILL,NULL,NULL,531750,171150,London,West Norwood,225,West Norwood,NULL,,1,1
010021-24012017,24.Jan.17,04:04:09,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,BR5 3LW,BR5,E09000006,BROMLEY,E05000114,CRAY VALLEY EAST,548111,168366,548150,168350,London,Orpington,489,Orpington,NULL,,1,1
010022-24012017,24.Jan.17,04:04:32,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,UB6,E09000009,EALING,E05000183,NORTH GREENFORD,NULL,NULL,515550,184950,London,Northolt,401,Northolt,NULL,,1,1
010025-24012017,24.Jan.17,04:20:58,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,KT3 3NE,KT3,E09000021,KINGSTON UPON THAMES,E05000402,BEVERLEY,520201,168591,520250,168550,London,New Malden,294,New Malden,NULL,,1,1
010027-24012017,24.Jan.17,04:43:47,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE19,E09000022,LAMBETH,E05000422,GIPSY HILL,NULL,NULL,533250,170850,London,West Norwood,850,West Norwood,NULL,,1,1
010028-24012017,24.Jan.17,04:51:18,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E10,E09000031,WALTHAM FOREST,E05000595,FOREST,NULL,NULL,538250,187550,London,Leyton,330,Leyton,433,Leytonstone,2,2
010029-24012017,24.Jan.17,04:53:47,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,SM2 5PT,SM2,E09000029,SUTTON,E05000557,BELMONT,526090,162068,526050,162050,London,Sutton,387,Sutton,NULL,,1,1
010031-24012017,24.Jan.17,04:59:19,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE10,E09000011,GREENWICH,E05000222,GREENWICH WEST,NULL,NULL,538050,177450,London,Greenwich,337,Greenwich,NULL,,1,1
010033-24012017,24.Jan.17,05:06:57,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,KT2,E09000021,KINGSTON UPON THAMES,E05000415,TUDOR,NULL,NULL,518150,170250,London,Kingston,254,Kingston,NULL,,1,1
010036-24012017,24.Jan.17,05:52:50,Special Service,Special Service,Lift Release,Non Residential,Purpose built office ,Correct incident location,SW1Y 6RJ,SW1Y,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,529451,180287,529450,180250,London,Soho,NULL,,NULL,,1,1
010037-24012017,24.Jan.17,05:57:48,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,WC2H 8AF,WC2H,E09000007,CAMDEN,E05000138,HOLBORN AND COVENT GARDEN,529927,181071,529950,181050,London,Soho,565,Euston,NULL,,1,1
010042-24012017,24.Jan.17,06:15:05,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E1,E09000030,TOWER HAMLETS,E05009333,SPITALFIELDS & BANGLATOWN,NULL,NULL,534050,181750,London,Whitechapel,306,Whitechapel,NULL,,1,1
010046-24012017,24.Jan.17,06:37:37,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,CR0 5NS,CR0,E09000008,CROYDON,E05000153,FAIRFIELD,533056,164920,533050,164950,London,Croydon,316,Croydon,320,Croydon,1,2
010047-24012017,24.Jan.17,06:54:04,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SE15 5GH,SE15,E09000028,SOUTHWARK,E05000546,PECKHAM,533787,177069,533750,177050,London,Peckham,205,Peckham,262,Old Kent Road,2,2
010048-24012017,24.Jan.17,07:07:41,Special Service,Special Service,Lift Release,Non Residential,Purpose built office ,Correct incident location,SM1 1JB,SM1,E09000029,SUTTON,E05000564,SUTTON CENTRAL,525833,164119,525850,164150,London,Sutton,NULL,,NULL,,1,1
010049-24012017,24.Jan.17,07:12:17,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,SM6 9AA,SM6,E09000029,SUTTON,E05000570,WALLINGTON SOUTH,529104,163755,529150,163750,London,Wallington,222,Wallington,NULL,,1,1
010050-24012017,24.Jan.17,07:12:26,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Within same building,NW1 1NJ,NW1,E09000007,CAMDEN,E05000142,REGENT'S PARK,529305,183279,529350,183250,London,Euston,271,Euston,418,Kentish Town,2,2
010052-24012017,24.Jan.17,07:20:58,Special Service,Special Service,Flooding,Outdoor,Road surface/pavement ,In street outside gazetteer location,E16 4HT,E16,E09000025,NEWHAM,E05000477,CANNING TOWN NORTH,539582,182229,539550,182250,London,Plaistow,459,Plaistow,NULL,,1,1
010053-24012017,24.Jan.17,07:30:27,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,HA9 0HB,HA9,E09000005,BRENT,E05000102,TOKYNGTON,519979,185517,519950,185550,London,Wembley,689,Wembley,NULL,,1,1
010055-24012017,24.Jan.17,07:33:33,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,W11,E09000020,KENSINGTON AND CHELSEA,E05009397,HOLLAND,NULL,NULL,524650,180050,London,Kensington,285,North Kensington,328,Kensington,2,2
010056-24012017,24.Jan.17,07:37:00,False Alarm,AFA,,Non Residential,Other retail warehouse ,Correct incident location,EN3 7PH,EN3,E09000010,ENFIELD,E05000198,ENFIELD HIGHWAY,536789,196934,536750,196950,London,Enfield,365,Enfield,NULL,,1,1
010057-24012017,24.Jan.17,07:38:18,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW19,E09000024,MERTON,E05000462,HILLSIDE,NULL,NULL,524150,170450,London,Wimbledon,346,Wimbledon,398,New Malden,2,2
010058-24012017,24.Jan.17,07:39:52,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1C 1JU,W1C,E09000033,WESTMINSTER,E05000641,MARYLEBONE HIGH STREET,528390,181112,528350,181150,London,Soho,415,Soho,NULL,,1,1
010059-24012017,24.Jan.17,07:43:02,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,KT5,E09000021,KINGSTON UPON THAMES,E05000401,BERRYLANDS,NULL,NULL,518650,167150,London,Surbiton,187,Surbiton,566,Kingston,2,2
010061-24012017,24.Jan.17,07:51:02,False Alarm,False alarm - Good intent,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE26 4EG,SE26,E09000023,LEWISHAM,E05000444,FOREST HILL,535086,172170,535050,172150,London,Forest Hill,288,Forest Hill,535,Beckenham,2,2
010062-24012017,24.Jan.17,07:52:18,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,HA8,E09000003,BARNET,E05000044,BURNT OAK,NULL,NULL,520550,190850,London,Mill Hill,395,Mill Hill,NULL,,2,2
010063-24012017,24.Jan.17,07:53:39,Special Service,Special Service,Flooding,Non Residential,Pub/wine bar/bar ,Correct incident location,EN1 3PN,EN1,E09000010,ENFIELD,E05000207,SOUTHBURY,534328,197443,534350,197450,London,Enfield,130,Enfield,NULL,,1,1
010064-24012017,24.Jan.17,07:56:02,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SE25,E09000008,CROYDON,E05000169,WOODSIDE,NULL,NULL,534750,167650,London,Woodside,209,Woodside,504,Croydon,2,2
010065-24012017,24.Jan.17,07:56:29,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E17,E09000031,WALTHAM FOREST,E05000592,CHAPEL END,NULL,NULL,537850,190650,London,Walthamstow,338,Walthamstow,639,Woodford,2,2
010066-24012017,24.Jan.17,07:59:02,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,HA7,E09000015,HARROW,E05000286,CANONS,NULL,NULL,517950,192050,London,Stanmore,291,Stanmore,NULL,,2,2
010067-24012017,24.Jan.17,08:34:46,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,WC1E 6JA,WC1E,E09000007,CAMDEN,E05000129,BLOOMSBURY,529466,182054,529450,182050,London,Euston,291,Euston,NULL,,1,1
010069-24012017,24.Jan.17,08:48:44,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,UB6,E09000009,EALING,E05000187,PERIVALE,NULL,NULL,517050,184050,London,Wembley,504,Wembley,NULL,,1,1
010070-24012017,24.Jan.17,08:51:33,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE16,E09000023,LEWISHAM,E05000443,EVELYN,NULL,NULL,535550,178450,London,Deptford,237,Deptford,341,Old Kent Road,2,2
010071-24012017,24.Jan.17,08:56:47,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,SW8 1SJ,SW8,E09000022,LAMBETH,E05000426,OVAL,530323,177847,530350,177850,London,Lambeth,281,Lambeth,NULL,,1,1
010073-24012017,24.Jan.17,08:59:00,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,W4,E09000009,EALING,E05000191,SOUTHFIELD,NULL,NULL,521050,179650,London,Chiswick,367,Chiswick,437,Acton,2,2
010074-24012017,24.Jan.17,09:01:50,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,W3 7BH,W3,E09000009,EALING,E05000175,EAST ACTON,521547,180126,521550,180150,London,Acton,378,Hammersmith,544,North Kensington,2,3
010075-24012017,24.Jan.17,09:03:42,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,In street close to gazetteer location,IG11 7HX,IG11,E09000002,BARKING AND DAGENHAM,E05000032,GASCOIGNE,544549,183471,544550,183450,London,Barking,366,Barking,NULL,,1,1
010078-24012017,24.Jan.17,09:21:21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW20,E09000024,MERTON,E05000469,RAYNES PARK,NULL,NULL,522850,169250,London,New Malden,407,Wimbledon,606,Mitcham,2,2
010079-24012017,24.Jan.17,09:22:23,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,TW7 7DT,TW7,E09000018,HOUNSLOW,E05000362,ISLEWORTH,515997,175003,515950,175050,London,Heston,301,Heston,306,Heston,1,2
010081-24012017,24.Jan.17,09:23:55,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,SE1 7HT,SE1,E09000022,LAMBETH,E05000416,BISHOP'S,531293,179353,531250,179350,London,Lambeth,218,Lambeth,NULL,,1,1
010082-24012017,24.Jan.17,09:25:42,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W13 9BE,W13,E09000009,EALING,E05000192,WALPOLE,516233,180296,516250,180250,London,Ealing,886,Hayes,NULL,,1,1
010084-24012017,24.Jan.17,09:33:37,Special Service,Special Service,RTC,Non Residential,Restaurant/cafe,Correct incident location,TW3 1JA,TW3,E09000018,HOUNSLOW,E05000358,HOUNSLOW CENTRAL,513568,175779,513550,175750,London,Heston,453,Feltham,922,Twickenham,2,2
010085-24012017,24.Jan.17,09:36:10,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW12,E09000027,RICHMOND UPON THAMES,E05000521,HAMPTON NORTH,NULL,NULL,512450,171250,London,Twickenham,724,Richmond,NULL,,3,3
010086-24012017,24.Jan.17,09:40:03,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,W13,E09000009,EALING,E05000192,WALPOLE,NULL,NULL,516850,180050,London,Ealing,463,Acton,472,Southall,2,2
010088-24012017,24.Jan.17,09:48:04,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,W2 6BD,W2,E09000033,WESTMINSTER,E05000636,HYDE PARK,526195,181593,526150,181550,London,Paddington,471,North Kensington,472,North Kensington,3,4
010089-24012017,24.Jan.17,09:48:51,Special Service,Special Service,Flooding,Non Residential,Factory ,Correct incident location,RM6 5NF,RM6,E09000026,REDBRIDGE,E05000495,ALDBOROUGH,546642,190825,546650,190850,London,Hainault,276,Hainault,NULL,,1,1
010090-24012017,24.Jan.17,09:50:18,False Alarm,False alarm - Good intent,,Outdoor,Tree scrub ,On land associated with building,IG10 4RP,IG10,E00000000, Not geo-coded,E00000000, Not geo-coded,540942,195028,540950,195050,OverTheBorder,OverTheBorder,NULL,,NULL,,1,1
010092-24012017,24.Jan.17,09:50:39,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,E17 5QX,E17,E09000031,WALTHAM FOREST,E05000600,HIGHAM HILL,536198,190596,536150,190550,London,Walthamstow,551,Tottenham,NULL,,1,1
010093-24012017,24.Jan.17,10:01:02,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,WC2N 5DP,WC2N,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,530125,180473,530150,180450,London,Soho,417,Lambeth,NULL,,1,1
010095-24012017,24.Jan.17,10:04:38,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC2M,E09000001,CITY OF LONDON,E05009295,BROAD STREET,NULL,NULL,532950,181550,London,Shoreditch,393,Shoreditch,NULL,,1,1
010096-24012017,24.Jan.17,10:05:12,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,RM13 9EE,RM13,E09000016,HAVERING,E05000318,RAINHAM AND WENNINGTON,554196,180919,554150,180950,London,Wennington,677,Wennington,NULL,,1,1
010098-24012017,24.Jan.17,10:07:33,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW5,E09000020,KENSINGTON AND CHELSEA,E05009388,ABINGDON,NULL,NULL,525050,178750,London,Kensington,460,Battersea,867,Soho,2,3
010099-24012017,24.Jan.17,10:07:47,False Alarm,AFA,,Non Residential,"Takeaway, fast food ",Correct incident location,E4 6EL,E4,E09000031,WALTHAM FOREST,E05000598,HATCH LANE,539126,193475,539150,193450,London,Chingford,368,Chingford,NULL,,2,2
010101-24012017,24.Jan.17,10:11:39,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,IG8,E09000031,WALTHAM FOREST,E05000598,HATCH LANE,NULL,NULL,539750,192250,London,Woodford,179,Woodford,NULL,,2,2
010104-24012017,24.Jan.17,10:13:48,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E3,E09000030,TOWER HAMLETS,E05009320,BOW WEST,NULL,NULL,536250,183450,London,Bethnal Green,285,Bethnal Green,NULL,,1,1
010105-24012017,24.Jan.17,10:17:14,Special Service,Special Service,No action (not false alarm),Road Vehicle,Car ,In street outside gazetteer location,N11 2LU,N11,E09000010,ENFIELD,E05000209,SOUTHGATE GREEN,529184,191904,529150,191950,London,Southgate,589,Finchley,595,Edmonton,2,2
010106-24012017,24.Jan.17,10:25:50,False Alarm,AFA,,Non Residential,Pre School/nursery ,Correct incident location,NW6 3RU,NW6,E09000007,CAMDEN,E05000145,WEST HAMPSTEAD,525565,184490,525550,184450,London,West Hampstead,251,West Hampstead,NULL,,1,1
010107-24012017,24.Jan.17,10:28:51,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW16,E09000032,WANDSWORTH,E05000615,FURZEDOWN,NULL,NULL,529250,171350,London,Tooting,297,Tooting,477,Norbury,2,2
010109-24012017,24.Jan.17,10:33:15,Special Service,Special Service,Flooding,Non Residential,Single shop ,Correct incident location,NW6 1DH,NW6,E09000007,CAMDEN,E05000132,FORTUNE GREEN,525135,185592,525150,185550,London,West Hampstead,215,West Hampstead,NULL,,1,1
010110-24012017,24.Jan.17,10:34:45,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,CR8,E09000008,CROYDON,E05000151,COULSDON WEST,NULL,NULL,529550,161450,London,Purley,290,Purley,NULL,,1,1
